company_brand,sector,stage,amount_usd,what_it_does,year,city
kratikal,Technology,pre series a,1000000.0,It is a product-based cybersecurity solutions provider,2019,Noida
quantiphi,AI & Tech,series a,20000000.0,It is an AI and big data services company providing business solutions.,2019,
lenskart,E-commerce,series g,275000000.0,It is a eyewear company,2019,Delhi
cub mcpaws,E-commerce & AR,,,A B2C  brand that focusses on premium and comfortable merchandise for Generation Alpha – kids,2019,Mumbai
appnomic,SaaS,,22000000.0,"It is a self-healing enterprise, the IT operations software detects, predicts and prevents problems before they happen",2019,Bengaluru
kaleidofin,Fintech,series a,5000000.0,Platform that provides complete financial solutions for excluded individuals and households,2019,Chennai
jobsquare,HR tech,,140500.0,Technology-based platform that is connecting suitable applicants to the right recruiters,2019,Ahmedabad
open secret,Food tech,,,It produces and sells top quality snacks,2019,
livfin,Fintech,,5000000.0,"Grants small business loans, supply chain finance and working capital loans to small and medium enterprises",2019,Delhi
byjus,Edtech,,540000000.0,Provides online learning classes,2019,
zest money,Fintech,series b,15000000.0,Uses AI to do risk profiling of e-commerce consumers who opt for EMI,2019,Bengaluru
witblox,Edtech,,182700.0,Offers a range of robotics learning tools,2019,
azah personal care pvt ltd,Health,pre series a,,Aims to solve some problems in the feminine hygiene sector,2019,Gurugram
salaryfits,Fintech,,5000000.0,A platform that promotes financial well-being of employees at workplace,2019,
pristyn care,Healthcare,series b,12000000.0,Delivers advanced medical care & clinical excellence aided by next-level technology,2019,
springboard,Edtech,series a,11000000.0,Offers online courses and extensive mentor-based learning,2019,
dror labs pvt ltd,Safety tech,,,It uses technology to create a trust-based network of responsible citizens to ensure safety,2019,Delhi
medlife,Pharmaceutical,,15500000.0,It solves inadequacies in the healthcare delivery system through technology,2019,Bengaluru
seekify,SaaS,seed,1500000.0,Customer Experience (CX) Automation platform,2019,Delhi
fireflies ai,AI,,5000000.0,Developer of an artificial intelligence-powered assistant for businesses,2019,
hungerbox,Foodtech,series c,12000000.0,"Offers B2B tech platform to corporates, aimed at improving the operations of their cafeterias",2019,Bengaluru
bijak,AgriTech,seed,2500000.0,B2B platform for agricultural commodities.,2019,
licious,Food,series e,30000000.0,Online meat shop,2019,Bengaluru
trume,IoT,,140000.0,A global platform for Identity and Access Management,2019,
pumpkart,E-marketplace,,,B2B model for appliances and electrical products,2019,Chandigarh
asteria aerospace,Robotics & AI,,230000000.0,"Develops drones that are used by the military, paramilitary, police forces and in various industries.",2019,Bengaluru
rivigo,Logistics,series f,20000000.0,"It offers delivery services across India to retail, e-commerce, pharmaceutical, automobile and FMCG companies",2019,
happyeasygo,Travel,series b,49400000.0,Online flight booking,2019,Gurugram
zetwerk,Manufacturing,series b,32000000.0,Provides facilities to get products manufactured.,2019,Bengaluru
observeai,AI,series a,26000000.0,Creates a voice AI platform,2019,Bengaluru
freshokartz,E-marketplace,pre series a,150000.0,Online fruits and vegetables delivery company,2019,Jaipur
lil goodness and scool meal,Food & Nutrition,,400000.0,It empowers moms to provide the best of foods to their Lil' ones,2019,Bengaluru
trell,Social Media,pre series a,2000000.0,Blogging platform that enables people to create visual collections of their travel and local experiences,2019,Bengaluru
vmate,nan,,100000000.0,A short video platform,2019,
bombay shirt company,E-commerce,,8000000.0,Online custom shirt brand,2019,Mumbai
slintel,SaaS,,1500000.0,"It helps sales and marketing teams understand purchase intent of buyers on buying patterns, usage and renewals",2019,
mygamemate,E-Sports,,100000.0,eSports platform where players can access various multiplayer mobile games to participate in online tournaments,2019,Bengaluru
afinoz,Fintech,,,Online financial marketplace for customized rate quotes on loans and investment products in India,2019,Noida
rein games,Technology,pre series a,50000000.0,"It develops, publishes and distributes games across various platforms",2019,Noida
ecozen,AgriTech,series a,6000000.0,It develops technology-enabled products to strengthen the farm-to-fork value chain of perishables.,2019,Pune
box8,Foodtech,,120000000.0,Enables to order food online,2019,Mumbai
awign enterprises,nan,series a,4000000.0,It supplies workforce to the economy,2019,Bengaluru
purplle,Cosmetics,series c,30000000.0,Online makeup and beauty products retailer,2019,Mumbai
freightwalla,B2B,series a,4000000.0,Provides digital platform for businesses to plan and manage their international freight shipments online,2019,Mumbai
tapchief,nan,pre series a,1500000.0,It connects individuals in need of advice in a specific domain to individuals who have expertise in the same,2019,Bengaluru
ejohri,Jewellery,pre series a,1000000.0,Omnichannel marketplace for gems and jewellery,2019,Mumbai
ninjacart,B2B Supply Chain,,,"It connects producers of food directly to retailers, restuarants and service providers.",2019,
binca games,Games,,,It offers games that are available across India and UK.,2019,Mumbai
kredx,nan,series b,26000000.0,Invoice discounting platform,2019,Bengaluru
mpaani,nan,series a,5500000.0,It digitizes and organises local retailers,2019,Mumbai
origo,AgriTech,,6800000.0,It provides post-harvest management services for agricultural commodities,2019,Gurugram
wishadish,Food & tech,,6000000.0,Provides management solution for restaurants,2019,Delhi
ecom express,Logistics,,36000000.0,It is a technology enabled logistics solutions provider to the Indian e-commerce industry,2019,Gurugram
stanza living,Accomodation,,5700000.0,Provides comfortable and secure accomodation for students,2019,Delhi
pibeam,Automotive tech,,50000000.0,It is engaged in building sustainable and affordable micro-mobility electric vehicles,2019,Chennai
euler motors,Automotive tech,,2000000.0,It is offering mobility as a service,2019,Delhi
moms co,E-commerce,series b,5000000.0,It is into mother and baby care-focused consumer goods,2019,New Delhi
cubical labs,IoT,series b,,Home automation solution provider,2019,
lawyered,Legal tech,,100000.0,It helps to connect to legal advise online,2019,Delhi
cuemath,Edtech,,5500000.0,It helps students to learn math online,2019,Bengaluru
licious,Food,series d,25000000.0,Online meat shop,2019,Bengaluru
niveshcom,Mutual Funds,,600000.0,The platform simplifies the process of investment,2019,Noida
zebu,Cybersecurity,seed,4000000.0,"Platform uses encryption technology to allow businesses to safely store files, invoices, and schedules",2019,
smart institute,Edtech,,1500000.0,A platform to learn online,2019,Surat
cardekho,Automobile,series d,70000000.0,Enables people to buy and sell new/old cars.,2019,Jaipur
shadowfax,Logistics,series d,60000000.0,A platform for delivery services,2019,Bengaluru
credr,Automobile,,6000000.0,A marketplace to buy and sell used bikes and scooters,2019,Mumbai
sportido,Sports,series b,,It is a sports discovery app that helps to find people and places to play 700+ sports,2019,Noida
phable,Healthtech,,220000.0,"It creates an engagement loop between doctors, hospitals, and patients via its app",2019,
sarva,Yoga & wellness,,2800000.0,It drives a cultural change in making yoga-based wellness a part of modern lifestyle,2019,Chennai
indyfint,Virtual Banking,series a,2100000.0,"It helps lenders to directly provide short-term loans to merchants, employees, and students",2019,Bengaluru
zolostays,Accomodation,,7000000.0,It offers affordable housing apartments to young professionals and students,2019,
ola,Transportation,,311000000.0,It enables one to book cab online,2019,Bengaluru
zoomcar,Transport & Rentals,,4800000.0,A car rental service platform,2019,Bengaluru
kratikal,Technology,pre series a,1000000.0,Provides cyber security solutions,2019,Uttar pradesh
froogal,Marketing & Customer loyalty,pre series a,1000000.0,A cloud based Customer Loyalty & Engagement Platform,2019,Hyderabad
inframarket,Infratech,series a,20000000.0,"It connects client requirements to their supply chain infrastructure for ease of ordering, tracking and manufacturing",2019,Mumbai
oyo,Hospitality,,693000000.0,Provides rooms for comfortable stay,2019,Gurugram
gomechanic,Automobile & Technology,series b,5000000.0,Find automobile repair and maintenance service providers,2019,Delhi
spinny,Automobile,,50000000.0,Online car retailer,2019,Delhi
aqgromalin,AgriTech,,200000.0,Cultivating Ideas for Profit,2020,Chennai
krayonnz,Edtech,pre seed,100000.0,An academy-guardian-scholar centric ecosystem which provides state of the art technological solutions.,2020,Bengaluru
padcare labs,Hygiene management,pre seed,,Converting bio-hazardous waste to harmless waste,2020,Pune
ncome,Escrow,,400000.0,Escrow-as-a-service platform,2020,New Delhi
gramophone,AgriTech,,340000.0,Gramophone is an AgTech platform enabling access to agri inputs and powering efficient farm management.,2020,Indore
qzense,AgriTech,seed,600000.0,qZense Labs is building the next-generation IoT solution for fresh food quality assessment and management.,2020,Bengaluru
myclassboard,Edtech,pre series a,600000.0,MyClassboard is a full-fledged School / College Management Software.,2020,Hyderabad
metvy,Networking platform,pre series,,AI driven networking platform for individuals and organisations which aims to provided a seamless end to end networking experience.,2020,Gurugram
rupeek,Fintech,series c,45000000.0,"Rupeek is an online lending platform that specializes in credit risk, gold loans, and personal loans.",2020,Bengaluru
gig india,Crowdsourcing,pre series a,1000000.0,GigIndia is a marketplace that provides on-demand work completion for companies through a gig workforce of jobseekers.,2020,Pune
slurrp farm,Food & Bevarages,series a,2000000.0,Slurrp Farm is a children health food brand.,2020,Gurugram
medfin,Healthtech,series a,,Medfin is a Discovery platform for medical procedures and financing.,2020,Bengaluru
masterg,Fashion startup,,,MasterG is a design and skill development organisation.,2020,New Delhi
brila 91,Food & Bevarages,,1200000.0,Bira 91 is a craft beer company.,2020,New Delhi
foodybuddy,Food Industry,,600000.0,FoodyBuddy is a online food delivery portal,2020,Belgaum
zomato,Food Delivery,,660000000.0,Zomato is a food delivery and restaurant discovery site that provides information and reviews about restaurants,2020,Gurugram
oureyeai,Virtual auditing startup,,120000.0,"Video intelligence solution for Enterprise Standard Operating Procedures Monitoring and Quality Control, leveraging CCTV infrastructure.",2020,Bengaluru
shiprocket,E-commerce,series c,7500000.0,Shiprocket helps online retailers simplify their shipping by providing a delightful post purchase experience to their consumers.,2020,New Delhi
pine labs,Fintech,,,A merchant platform company that provides financing and last-mile retail transaction technology to merchants.,2020,Noida
moneyboxx finance,Fintech,,1000000.0,MONEYBOXX FINANCE LTD is committed to providing easy access to financing to the deserving micro enterprises in the tier 2 and tier 3 cities of India,2020,New Delhi
ewar,Gaming,pre series a,,EWar Games is a e-sports and real-time gaming start-up.,2020,Bengaluru
sucseed indovation,Fintech,,5000000.0,"SucSEED INDOVATION FACILITATES ACCESS TO CAPITAL FOR DEEP TECH STARTUPS TO INNOVATE, SCALE & GROW",2020,Hyderabad
taxbuddycom,Fintech,,1000000.0,TaxBuddy for any tax related issues.,2020,Mumbai
awign enterprises,Work fulfillment,,500000.0,Operations and manpower outsourcing startup,2020,Bengaluru
circle of angels,Fintech,,3000000.0,Circles of Angels aims to solve this issue through the creation of a funding network that makes impact funding accessible to everyone.,2020,Gurugram
coindcx,Fintech,series b,10000000.0,CoinDCX is a company that specializes in crypto-enabled financial services.,2020,Mumbai
glance,AI startup,,145000000.0,Glance is a screen zero platform that consumers use across connected devices to experience the Internet.,2020,Bengaluru
verse innovation,Telecommunication,,100000000.0,Owner of Dailyhunt App and I-Pay,2020,Bengaluru
voosh,Food Industry,pre seed,,Building India's largest digital food service brand,2020,Bengaluru
delhivery,E-commerce,,,Delhivery is a supply chain services company that provides products and services to build trust and improve the lives of consumers.,2020,Gurugram
arya,AgriTech,series b,21000000.0,"""Simplifying Agribusiness"" Throughout Agri-Supply chain, FPO Market Linkages, Market Research, Implementation",2020,Noida
pickrr,Logistics,,4000000.0,Pickrr is an on-demand first mile logistics company,2020,New Delhi
phonepe,Fintech,,20000000.0,PhonePe is a mobile payment application that enables users to transfer money instantly.,2020,Andheri
countingwell,Edtech,pre series a,1000000.0,"An interactive Maths app, Countingwell breaks Maths concepts into short, simple modules that get kids learning with the least amount of screen time.",2020,Bengaluru
callifyai,Tech Startup,seed,560000.0,Callify.ai is a Voice-Based Candidate Screening & Engagement platform for Talent Acquisition teams.,2020,Mumbai
hudle,Sports,pre series a,,Hudle is a sports & fitness discovery & booking platform with 300+ sports venues and sports events/tournaments available for booking.,2020,New Delhi
cover it up,E-commerce,seed,400000.0,Online portal that churns out high quality products,2020,Chennai
bitespeed,E-commerce,seed,275000.0,Chat-based commerce for E-commerce brands,2020,Gurugram
wakefit,Retail,series b,20000000.0,Wakefitkart is a mattress manufacturing company,2020,Bengaluru
sreyas holistic remedies,Medtech,,1000000.0,Sreyas Holistic Remedies operates a chain of dermatologist clinics under the brand name of Oliva,2020,Hyderabad
fleeca india,Tyre management,,,FLEECA is a Tyre Care Provider company.,2020,Jaipur
m1xchange,Fintech,,4500000.0,M1 an online exchange for TReDS set up under the approval RBI to facilitate discounting of invoices on a PAN India basis.,2020,Gurugram
exotel,Cloud company,,5000000.0,Exotel provides cloud telephony services such as virtual phone numbers and telephony applications for small and medium enterprises in India.,2020,Bengaluru
pagarbook,Software company,series a,15000000.0,"Staff's Salary, Work & Attendance Management Application",2020,Bengaluru
pointone capital,Venture capitalist,,,Pre-seed/Seed focussed VC investor,2020,Bengaluru
ayana,Renewable player,,390000000.0,Ayana Renewable Power is an Indian renewable energy platform,2020,Bengaluru
fisdom,Fintech,,7000000.0,Fisdom is a fintech company that offers investment advisory services through an application.,2020,Bengaluru
tinker coders,Edtech,seed,,Tinker Coder is a LIVE Online Platform through which kids will learn the art of coding,2020,Noida
infinite uptime,IoT startup,series b,5100000.0,The industrial Internet platform that harnesses the power of big data & predictive analytics for data-driven decision making.,2020,Pune
happylocate,SaaS,pre series a,500000.0,"HappyLocate is India's first One Stop Relocation Platform, transforming the way Employee Relocations are managed",2020,Bengaluru
phonepe,Fintech,,700000000.0,PhonePe is a mobile payments application that allows the user to transfer money instantly.,2020,New Delhi
loop health,Healthtech,seed,2300000.0,Loop Health is bringing ease and choice to patients seeking major medical treatments.,2020,Pune
neodocs,Healthtech,pre seed,,Neodocs analyses medical reports and provides personalised health recommendations remotely.,2020,Mumbai
the eplane,Aero company,seed,,Transforming the mobility landscape using aerial transport.,2020,Chennai
tagmango,Marketing company,seed,700000.0,"TagMango is a marketing and advertising app that helps influencer, and brands to partner with individuals.",2020,Mumbai
the new shop,Retail startup,seed,500000.0,The New Shop is a chain of high speed retail stores,2020,New Delhi
mobikwik,Fintech,,7000000.0,"MobiKwik is India’s leading fintech platform, operating businesses in consumer payments, payment gateway, and financial services.",2020,Gurugram
debugsbunny,Edtech,,100000.0,DebugsBunny is the best Kids Coding Platform where kids are taught to code online by our expert teachers.,2020,Pune
bhive investech,Co-working Startup,seed,1000000.0,BHIVE is Bangalore's (India) largest Coworking space that allows entrepreneurs to take their ideas to the next level.,2020,Bengaluru
rivigo,Logistics,,19000000.0,Rivigo is a technology-enabled logistics platform provider that offers transport services.,2020,Gurugram
ziploan,Finance company,,3000000.0,ZipLoan is a online lending platform,2020,New Delhi
swipez,Fintech,,,Swipez is a payment collection platform.,2020,Pune
humus,AgriTech,,,Farmgate to Retail outlet Agri-Fresh produce supply chain,2020,Bengaluru
artivaticai,Tech company,,,"Artivatic's patent pending technology solves complex problems in Insurance for On-boarding, Fraud, Risk Profiling, Underwriting & claims.",2020,Bengaluru
prescinto,Solar Monitoring Company,seed,,Prescinto provides solutions for solar monitoring and analytics solutions.,2020,Ahmedabad
toppeq,SaaS,seed,,SaaS-based equity management platform,2020,Mumbai
bolo indya,Video sharing platform,,400000.0,"Bolo Indya is a short video & commerce platform. It allows users to create, watch and share videos & discover and avail services.",2020,Gurugram
bombay play,Gaming startup,seed,1000000.0,Bombay Play is a Card and Toy Company Making games for India.,2020,Bengaluru
freshtohome,E-commerce,,,Freshtohome is an e-commerce platform for fresh and chemical-free seafood.,2020,Bengaluru
kiko tv,Video streaming platform,seed,,KIKO TV is an AI-based short live video e-commerce platform.,2020,Mumbai
atomberg technologies,Consumer appliances,series b,9000000.0,"Atomberg Technology aspires to be the ""Tesla"" of the world of household appliances",2020,Mumbai
dealshare,E-commerce,series c,21000000.0,DealShare is a Social Commerce Startup,2020,Jaipur
smallcase,Fintech,,,Changing how India invests in equities,2020,Bengaluru
cuemath,Edtech,series c,40000000.0,Cuemath is an engaging ‘learning-by-doing’ methodology for students with face-to-face sessions from highly-trained Cuemath teachers.,2020,Bengaluru
gamerji,Gaming startup,seed,,"Gamerji is an online esports gaming platform where tournaments are created for different games such as PUBG, COD, Free Fire etc.",2020,Ahmedabad
5c network,Healthtech,pre series a,1200000.0,"5C is India's first Diagnostics Network, making Radiodiagnosis more Accessible, Affordable and Accurate",2020,Bengaluru
ethereum push notification service,Blockchain startup,seed,750000.0,EPNS is a decentralized notification protocol,2020,Mumbai
mihup,Conversational AI platform,series a,1500000.0,Intelligence-based personal mobile assistant app,2020,Kolkata
ruralbasket,E-commerce,,500000.0,Naturally grown and healthy products directly from farmers.,2020,Tirunelveli
waycool foods,AgriTech,debt financing,7800000.0,"WayCool has adopted a tech-enabled supply chain approach to produce staples like rice, dairy, and value added products.",2020,Chennai
inframarket,Real Estate,series b,20000000.0,Hella Infra Market develops an online procurement marketplace intended to serve the real estate and construction materials industry.,2020,Thane
info edge venture,Venture capitalist,,50000000.0,"Info Edge provides online recruitment, matrimonial and real estate classifieds, and related services.",2020,Noida
clovia,E-commerce,pre series c,4000000.0,Clovia is the online lingerie retailer,2020,Noida
codingal,Edtech,seed,560000.0,Coding education platform for K-12 students,2020,Bengaluru
cred,Finance company,series c,80000000.0,CRED is a members-only app that rewards the user with exclusive rewards for paying credit card bills.,2020,Bengaluru
vistaar finance,Finance company,,30000000.0,The preferred full range Financial Services provider to the Small Business segment focused on rural and semi urban markets.,2020,Bengaluru
lets dive,SaaS platform,,1700000.0,A platform for remote employee engagement and building team culture,2020,Bengaluru
habitat,Edtech,seed,600000.0,"Habitat, a social learning edtech platform for civil service aspirants",2020,
sawo labs,SaaS platform,seed,600000.0,Providing Secure Authentication solutions to Apps and Websites. Eliminating Passwords and OTPs for a seamless User Experience.,2020,Mumbai
signzy,AI platform,,3000000.0,Signzy are creating 'building blocks for a Digital Trust system.,2020,Bengaluru
kopykitab,Edtech,,,"Kopykitab is an India-based digital library that provides eBooks, and digital content in school and higher education.",2020,Bengaluru
kyt,Edtech,,2500000.0,Holistic education for every child | Individual and small group live classes for ages 5 - 15 years,2020,Singapore
raskik,Fusion beverages,pre series a,1000000.0,All new fusion-flavour fruit juices with the goodness of coconut and taste of India's finest fruits.,2020,
getwork,HR Tech,pre seed,40000.0,GetWork is a campus recruiting platform to post your jobs and hire across dozens of colleges at once.,2020,Gurugram
mobile premier league mpl,Gaming,series b,500000.0,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,Bengaluru
pravasirojgar,Job portal,,33000000.0,Initiative for blue-collar job workers,2020,
omatra hotels,Hospitality,seed,,Omatra is very new hotel management firm recently registered as Omatra Hospitality Services Private Limited.,2020,Kolkata
awign,Job portal,pre series b,,Operations and manpower outsourcing startup,2020,Bengaluru
cashfree,Fintech,series b,35000000.0,Cashfree is a payments and banking technology company that enables businesses in India to collect payments online and make payouts.,2020,Bengaluru
credgenics,Fintech,pre series a,3000000.0,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,New Delhi
geoiq,AI startup,seed,300000.0,"Map-based intelligent platform with single-click access to street-level location data - demographics, competitions, movements - for retail.",2020,Bengaluru
quintype,Content management,series a,3500000.0,"A technology company that focus on building a suite of digital publishing solutions to simplify content creation, distribution, audience engagement",2020,Bengaluru
astrogate labs,Spacetech,,,Astrogate Labs provides high-quality products related to space infrastructure.,2020,Bengaluru
power gummies,Healthtech,bridge,,Power Gummies are a team of passionate givers who are dedicated to catering nutritional supplements,2020,New Delhi
cityflo,Transportation,series a,7000000.0,Cityflo is an urban transportation app that provides comfortable and economical buses for daily commute.,2020,Mumbai
algobulls,Trading platform,,200000.0,Algobulls is a state-of-the-art Trading Platform where customers are provided with Fully Automated Algorithmic Trading,2020,Mumbai
credgenics,Fintech,pre series a,3000000.0,"Credgenics is a tech-enabled platform backed by Titan Capital, helping fintech lenders and Banks in their critical NPA reduction",2020,Gurugram
ensuredit,Fintech,pre series a,300000.0,ENSUREDIT enables and empowers end customers and Insurance Intermediaries with AI-based product platforms for transformational customer experience.,2020,Gurugram
shipsy,AI Company,series a,6000000.0,Shipsy's platform enables data driven decision making enhancing visibility and operational efficiency for Supply Chain industry,2020,Gurugram
erpnext,Tech company,,1000000.0,"ERPNext is an Open Source, Online ERP solution which includes Accounting, CRM, Inventory, Purchasing, HR, Support and a lot more.",2020,Mumbai
lightspeedai,Photonics startup,,,Developer of an optoelectronic processor designed to accelerate AI computations.,2020,Bengaluru
grip invest,Fintech,pre series a,,Grip is an investment platform that allows retail investors to make small ticket investments in physical assets that earn lease income.,2020,Gurugram
unacademy,Edtech,,,Unacademy is an online learning platform providing educational content such as video lectures and examinations.,2020,Bengaluru
yellow classes,Edtech,pre series a,1300000.0,New-age fun-learning platform for kids.,2020,Gurugram
plum,Healthtech,,4100000.0,High quality health insurance and health benefits,2020,Bengaluru
stage,Entertainment,,1000000.0,STAGE is an Indian language content platform for artist-led entertainment.,2020,Indore
nykaa,Cosmetics,,,Nykaa is an online marketplace for different beauty and wellness products.,2020,Mumbai
kaagaz scanner,Scanning app,,575000.0,Kaagaz Scanner is the Indian replacement to banned Cam Scanner App.,2020,
nira,Fintech,,1000000.0,"NIRA promotes financial inclusion by creating simple, transparent products that empower individuals to live a life of choice and freedom.",2020,Bengaluru
prolixr,Skincare startup,seed,,A premium skincare brand committed towards building innovative skin care wellness.,2020,Gurugram
byjus,Edtech,,200000000.0,BYJU'S is an educational technology company that develops personalized learning programs for K-12 students.,2020,Bengaluru
damensch,E-commerce,,6000000.0,DaMENSCH is a designer and seller of men's apparel.,2020,Bengaluru
signalx,AI startup,seed,800000.0,SignalX offers an artificial intelligence-powered SaaS platform,2020,Hyderabad
lancify,Edtech,,300000.0,Lancify is building the world's strongest young workforce,2020,Bengaluru
krimanshi,Biotechnology company,seed,600000.0,Krimanshi aims to increase rural income by improving the productivity of Indian cattle with better quality feed.,2020,Jodhpur
instoried,AI startup,pre series a,1000000.0,Instoried is an augmented writing platform which improves customer interest and engagement.,2020,Bengaluru
playerzpot,Gaming startup,series a,3000000.0,"Favorite fantasy cricket, football & kabaddi leagues online to win daily cash and prizes",2020,Mumbai
instamojo,Fintech,,,"Instamojo is an on-demand payments platform that enables entrepreneurs to build, manage, and grow their business online.",2020,Bengaluru
turtlemint,Healthtech,,30000000.0,Turtlemint has built Indian personalized insurance platform,2020,Mumbai
arata,E-commerce,pre series a,1000000.0,Arata is an e-commerce site for beauty products and cosmetics.,2020,New Delhi
mpl,Gaming startup,,5000000.0,Mobile Premier League is a skill-based eSports platform used to offer cash prizes while playing games.,2020,Bengaluru
true balance,Fintech,,28000000.0,True Balance is a digital wallet that enables users to access utility bill payment and other financial products.,2020,Gurugram
thrive,FoodTech,pre series a,,"Thrive is all-in-one restaurant ordering suite for table ordering, pickup, and delivery with marketing in-built.",2020,Mumbai
kitchens centre,Proptech,pre series a,,Kitchens Centre offers turnkey solutions to cloud kitchens.,2020,New Delhi
prescribe,Healthtech,,100000.0,Provide online services to patients by leveraging WhatsApp.,2020,Chennai
nepra,CleanTech,series c,18000000.0,NEPRA Resource Management provides waste management solutions in India.,2020,Ahmedabad
infeedo,SaaS,,3200000.0,"inFeedo is a predictive people analytics company helping 300,000+ employees in 100+ companies make their voice feel heard and valued.",2020,Gurugram
shilpa sciences,Healthtech,pre series a,,Shilps Sciences is a healthtech platform that claims to have solved gene editing by accelerating single gene cell applications.,2020,Bengaluru
arzooo,Tech Startup,,,"B2B retail tech platform transforming 300,000+ SMEs in electronics space with its flagship ""Go Store"" product",2020,Bengaluru
mindtickle,SaaS platform,debt financing,100000000.0,MindTickle offers the industry's most comprehensive sales readiness solution for closing knowledge and skill gaps in customer-facing teams.,2020,Pune
slice,Fintech,debt financing,5000000.0,Slice is a card for first-time credit card users. They are inventing the future of finance for young Indians,2020,Bengaluru
rapawalk,E-commerce,seed,300000.0,Rapawalk is an online brand that offers a personalized service of creating your own shoes.,2020,Bengaluru
oga fits,Fitness startup,pre series a,,The new-age home workout app that gives you an unmatched boutique digital fitness studio experience.,2020,Bengaluru
laval,Cosmetics,pre series a,,"Laval Cosmetics, affordable makeup for all ages",2020,Bengaluru
stride ventures,Venture capitalist,,80000000.0,Stride Ventures is a venture capital firm in India which aims to invest in innovative startups across the country.,2020,New Delhi
blacksoil,Fintech,,10000000.0,Blacksoil Advisory is an independent boutique advisory firm.,2020,Mumbai
biocon,Healthcare,,15000000.0,"Biocon is a healthcare and technology, company focused on biotechnology.",2020,Bengaluru
xpressbees,E-commerce,,100000000.0,Xpressbees is an e-commerce logistics company that provides reliable logistics solutions to its partners.,2020,Pune
galaxycard,Fintech,seed,,Mobile based Instant credit card. | Easiest way to get a credit card. Get one in 3 minutes,2020,Gurugram
wellness forever,Healthtech,,100000000.0,Wellness Forever is the one-stop destination for wellness,2020,Mumbai
mooofarm,AgriTech,pre seed,500000.0,MoooFarm is an information technology company that bridges the technology gap to help marginalized dairy farmers.,2020,Gurugram
bitclass,PaaS startup,seed,2000000.0,BitClass is a PaaS solution which helps teachers set up their independent live classes,2020,Bengaluru
gonuts,Entertainment,seed,400000.0,Personalised Video shoutouts from favourite celebrity.,2020,Mumbai
uolo,Edtech,seed,2000000.0,Uolo Technology is founded by paranoid parents who want to make a difference to preschool experience.,2020,Bengaluru
kirana king,Retail,pre series a,900000.0,"A revolutionary idea of standardization, digitization & centralization to traditional Grocery system.",2020,Jaipur
jade forest,Beverages,seed,250000.0,"NATURALLY THE BEST From zero artificial ingredients in our drinks to the way they make you feel, we bring you a bespoke range of natural mixers.",2020,Delhi
ikure,Healthtech,,,iKure is a social enterprise that delivers primary healthcare and wellness & prevention services to communities in India,2020,Kolkata
frontrow,Edtech,seed,3200000.0,"Comprehensive courses, taught by idols.",2020,Bengaluru
reliance retail,E-commerce,,10000000.0,Reliance Retail Ventures Limited is a subsidiary company of Reliance Industries Limited.,2020,Mumbai
tubbr,Social Media,,,World's First Personal Social Network,2020,Frisco
ather energy,Automobiles,series d,35000000.0,Ather Energy is a manufacturer of electric scooters.,2020,Bengaluru
routematic,SaaS,,2000000.0,Vision is to enable a safer and more comfortable commute to work for employees of India Inc.,2020,Bengaluru
livfin,Fintech,,4700000.0,LivFin is a non-banking financial company registered with the Reserve Bank of India (RBI),2020,New Delhi
universal sportsbiz pvt ltd,Fashion startup,,,A fashion startup based in Bengaluru.,2020,Bengaluru
lattu kids,Edtech,,,Lattu kids is an edutainment platform for preschool kids.,2020,Mumbai
eggoz,Food & Bevarages,pre series a,1500000.0,"Eggoz is a brand of fresh and chemical-free eggs, produced in tech-enabled & nutrition-engineered deep integration partnership with farmers.",2020,Indore
steradian semiconductors,Deeptech,,,Semiconductor company focused on CMOS millimeter wave products for Radar.,2020,Bengaluru
stones2milestones,Edtech,bridge,2000000.0,Stones2milestones is India (Delhi) Based EdTech Company,2020,Gurugram
udacity,Edtech,debt financing,75000000.0,"Udacity develops an online learning platform offering programs in artificial intelligence, machine learning, and robotics sector.",2020,California
ajnalens,AR/VR startup,bridge,1000000.0,"AjnaLens develops AR/VR wearables primarily for the Defence, Education and enterprise customers.",2020,Thane
gully network,E-commerce,pre series a,1200000.0,Gully Network is a tech-enabled network of mid-sized grocery stores.,2020,Bengaluru
turbohire,Recruitment startup,seed,1000000.0,Talent Intelligence Platform for enterprises that helps recruiters discover the right candidates for a job using a Human-like AI,2020,Hyderabad
traya,Healthtech,seed,,work with our customers closely to get their hair health sorted for long-term effective results,2020,Mumbai
charcoal eats,QSR startup,,2000000.0,"In the last five years, have served over 1.5 million orders and enjoy high customer satisfaction.",2020,Mumbai
mitron tv,Video platform,,,Mitron is a free short videoplatform for next generation,2020,Bengaluru
svami,Food & Bevarages,,800000.0,Svami is the result of three seasoned drinkers extending their love for libations to the larger world of drinks.,2020,Mumbai
dhurnia,Edtech,,100000.0,Developer of an online learning platform intended for various competitive exam preparations.,2020,Dhingsara
expertrons,Edtech,,,Expertrons is an AI video bot platform created to help students and professionals prepare for interviews.,2020,Mumbai
leena ai,AI startup,,8000000.0,Leena AI offers a human resource management platform that transforms employee experience with conversational AI.,2020,New York
bizlog,Logistics,,1000000.0,Bizlog Value Chain enables re-commerce and circular economy through unique REVERSE LOGISTICS engine.,2020,Bengaluru
